Date,AAPL,BTC-USD,SOL-USD,TSLA
2021-01-01,0.05515111458715699,0.12468992205648133,0.0001646054185810283,0.3540171495309145
2021-01-02,0.05515111458715699,0.1499559156498193,0.0,0.3540171495309145
2021-01-03,0.05515111458715699,0.15596476596658587,0.0013937643003071641,0.3540171495309145
2021-01-04,0.05515111458715699,0.14853019947147889,0.002637061697845067,0.3540171495309145
2021-01-05,0.06200419852036915,0.16707295213184054,0.0013763268738681547,0.3586795172542558
2021-01-06,0.04311526643336322,0.19306228056352503,0.0004996412600853095,0.37690117612136637
2021-01-07,0.0616188152147808,0.2164337660230743,0.002205056127146076,0.4293397636230643
2021-01-08,0.06645877713087195,0.22952570537626527,0.005462411573112026,0.485200887302286
2021-01-09,0.06645877713087195,0.22454189159525695,0.006098758002777535,0.485200887302286
2021-01-10,0.06645877713087195,0.20712252606557385,0.006409170045630232,0.485200887302286
2021-01-11,0.053309360061410904,0.18152000387379819,0.005032539270449605,0.4251052079259771
2021-01-12,0.05253849246762293,0.16643542088341257,0.006975505496918124,0.45850140412791046
2021-01-13,0.06149046631581939,0.19757744578342795,0.006592470666218027,0.46284075458703394
2021-01-14,0.053009744653686075,0.2147477711881206,0.005686492724571639,0.4546247972823864
2021-01-15,0.0454282058234316,0.19307149365005488,0.00557881815186038,0.4381755367818923
2021-01-16,0.0454282058234316,0.18713174148226175,0.006335898201586061,0.4381755367818923
2021-01-17,0.0454282058234316,0.18358140509840198,0.0077627574923333385,0.4381755367818923
2021-01-18,0.0454282058234316,0.19127924360702986,0.007675765627044953,0.4381755367818923
2021-01-19,0.04838376489093793,0.186137516805929,0.0070849677244086305,0.4542319168434778
2021-01-20,0.06637314387649024,0.18134649671891784,0.007399159511186886,0.4593832468546733
2021-01-21,0.08710386415011268,0.13801111311534575,0.004580531217889895,0.45461608436929574
2021-01-22,0.09652688821914984,0.1580180654108172,0.005948210884729716,0.45605667262362143
2021-01-23,0.09652688821914984,0.14940872283740336,0.006555288363555719,0.45605667262362143
2021-01-24,0.09652688821914984,0.15144364988145365,0.0070563029092099066,0.45605667262362143
2021-01-25,0.1130174159660578,0.152150422673198,0.007308426405306648,0.48588193335304924
2021-01-26,0.11404521698386144,0.15401759626037592,0.008644098800883574,0.4878813470699202
2021-01-27,0.10933370494934297,0.13440306050847828,0.007272305694559402,0.4713535104816445
2021-01-28,0.08804630120049811,0.16224267784346702,0.0077778801350197315,0.44626919356333944
2021-01-29,0.06607329284267233,0.17004598289128037,0.007826343914458151,0.4096862294147186
2021-01-30,0.06607329284267233,0.16961590740840865,0.009324399536213595,0.4096862294147186
2021-01-31,0.06607329284267233,0.15901469194239315,0.009477695975637291,0.4096862294147186
2021-02-01,0.07541075097906852,0.16289497870921127,0.010813710317487374,0.45009344299533643
2021-02-02,0.07905157804685153,0.18100270878187197,0.01333574284751015,0.47888834180054624
2021-02-03,0.0745540818265466,0.19900662135029018,0.015060206322176348,0.4630851957634699
2021-02-04,0.08933113662492892,0.19399563434130684,0.01779052355263247,0.4589815735676915
2021-02-05,0.08750799656053226,0.20517573276951395,0.018773544831534223,0.4609373427841263
2021-02-06,0.08750799656053226,0.2154698692502599,0.016578321264047027,0.4609373427841263
2021-02-07,0.08750799656053226,0.212142475220987,0.018845613904773073,0.4609373427841263
2021-02-08,0.08815159240321285,0.27907228663869527,0.023393563510005613,0.4707073960182267
2021-02-09,0.08429089252976091,0.2816845013828726,0.02313802788514561,0.45851882995409193
2021-02-10,0.08163127983510216,0.267341195447986,0.027965262338166964,0.4195435716496915
2021-02-11,0.08051596055417237,0.2947916763849942,0.028515643658109602,0.4255155941260497
2021-02-12,0.08154564658072044,0.2910796628795414,0.02863738019833824,0.42940962679775524
2021-02-13,0.08154564658072044,0.28741486196148064,0.026658851559461218,0.42940962679775524
2021-02-14,0.08154564658072044,0.30220649030936997,0.02668361837049514,0.42940962679775524
2021-02-15,0.08154564658072044,0.2951195475499808,0.027155962600474363,0.42940962679775524
2021-02-16,0.07219418552222406,0.3066352604376899,0.02498781054356726,0.41203487907006203
2021-02-17,0.062113596349276656,0.33370018983528943,0.02469831314488572,0.4137199085008236
2021-02-18,0.05726653198952408,0.3293941294158859,0.027612425122045543,0.4043165969663595
2021-02-19,0.05795267517243202,0.368015029662957,0.03716830349189369,0.3990081147796006
2021-02-20,0.05795267517243202,0.36995497587914467,0.03154294443541513,0.3990081147796006
2021-02-21,0.05795267517243202,0.38317410601446683,0.03570662160279271,0.3990081147796006
2021-02-22,0.04135184075311488,0.3525898134110688,0.04866184929609546,0.3406848737373995
2021-02-23,0.04075133082458865,0.303189709469887,0.05153319690395152,0.32701207491850276
2021-02-24,0.03856371085514271,0.3112739957325664,0.05961242842233128,0.3647126500247229
